accuracy,dataset,mean,step
0.7066666483879089,EuroSAT_test,0.8695338368415833,92
0.9066666960716248,EuroSAT_test,0.8699288368225098,93
0.7866666913032532,EuroSAT_test,0.8690524697303772,94
0.9066666960716248,EuroSAT_test,0.8694443106651306,95
0.8933333158493042,EuroSAT_test,0.8696905374526978,96
0.8533333539962769,EuroSAT_test,0.8695236444473267,97
0.8399999737739563,EuroSAT_test,0.8692253828048706,98
0.8799999952316284,EuroSAT_test,0.8693330883979797,99
0.9200000166893005,EuroSAT_test,0.8698347210884094,100
0.9066666960716248,EuroSAT_test,0.8701959252357483,101
0.8533333539962769,EuroSAT_test,0.8700321316719055,102
0.9733333587646484,EuroSAT_test,0.8710255026817322,103
0.8533333539962769,EuroSAT_test,0.8708570003509521,104
0.9200000166893005,EuroSAT_test,0.8713205456733704,105
0.746666669845581,EuroSAT_test,0.8701555132865906,106
0.9333333373069763,EuroSAT_test,0.870740532875061,107
0.9200000166893005,EuroSAT_test,0.8711923956871033,108
0.9066666960716248,EuroSAT_test,0.8715149164199829,109
